hashtag,tweet_count_1h,tweet_count_6h,tweet_count_12h,total_tweets,avg_retweets,avg_likes,unique_users,avg_followers,verified_share,mean_sentiment,std_sentiment,acceleration,avg_degree_centrality,num_components,true,pred,prob,error_type
F1,30,30,30,30,484.6,0.0,29,8740.4,0.0,0.1486266666666666,0.2399140609097812,0.0,0.1072115384615384,1,1,0,0.35,FN
AI,30,30,30,30,20.3,0.0,30,306.8,0.0,0.3699700000000001,0.2128521758560778,0.0,0.2069603850425768,1,0,0,0.43333333333333335,OK
